,Date,Open,High,Low,Close,Adj_Close,Volume
1639,2006-07-27,62.01,62.6,58.92,59.26,36.0406,2954185
1640,2006-07-28,59.42,61.39,59.02,59.54,36.2109,2114105
1641,2006-07-31,60.0,62.0,59.04,59.53,36.2048,1213965
1642,2006-08-01,60.0,60.98,59.0,60.29,36.667,804205
1643,2006-08-02,60.0,64.58,60.0,63.58,38.6679,2086160
1644,2006-08-03,64.0,65.4,63.81,64.31,39.1119,3729690
1645,2006-08-04,64.99,65.2,62.26,63.6,38.6801,1661895
1646,2006-08-07,62.0,64.54,62.0,64.26,39.0815,4795375
1647,2006-08-08,63.6,66.4,59.6,64.07,38.9659,1119680
1648,2006-08-09,64.76,65.9,64.76,65.53,39.8539,3951620
1649,2006-08-10,65.53,67.08,65.02,66.8,40.6263,2762120
1650,2006-08-11,67.02,67.02,65.62,66.0,40.1397,779745
1651,2006-08-14,66.66,66.8,65.04,66.0,40.1397,2515345
1652,2006-08-16,66.4,67.15,66.22,66.79,40.6202,926205
1653,2006-08-17,66.79,67.39,66.0,66.47,40.4256,2056750
1654,2006-08-18,65.46,66.8,65.46,65.95,40.1093,1831790
1655,2006-08-21,65.95,66.74,65.22,66.13,40.2188,2139100
1656,2006-08-22,66.83,66.83,64.8,65.26,39.6897,1230910
1657,2006-08-23,66.38,67.61,64.6,66.87,40.6688,2453285
1658,2006-08-24,66.6,67.2,65.4,65.83,40.0363,1649085
1659,2006-08-25,67.0,69.3,66.6,68.61,41.7271,2329995
1660,2006-08-28,69.0,70.0,68.64,69.86,42.4873,1263660
1661,2006-08-29,69.94,70.05,69.06,69.49,42.2623,570925
1662,2006-08-30,69.96,69.99,67.6,69.45,42.2379,407510
1663,2006-08-31,69.71,71.8,67.6,68.26,41.5142,2454330
1664,2006-09-01,68.0,70.4,67.83,70.02,42.5846,972540
1665,2006-09-04,71.6,71.6,70.1,70.42,42.8279,494895
1666,2006-09-05,70.2,71.0,69.86,70.42,42.8279,408930
1667,2006-09-06,70.0,71.33,68.82,69.37,42.1893,1072115
1668,2006-09-07,69.0,70.8,68.18,68.63,41.7392,1748515
1669,2006-09-08,69.6,70.03,67.41,67.85,41.2648,1395155
1670,2006-09-11,68.21,68.59,66.44,66.97,40.7296,1256235
1671,2006-09-12,67.2,68.2,65.2,66.59,40.4985,2796465
1672,2006-09-13,68.4,68.74,67.28,67.77,41.2162,4059095
1673,2006-09-14,68.42,71.39,68.42,69.84,42.4751,3474765
1674,2006-09-15,70.0,70.0,67.64,69.58,42.317,2121030
1675,2006-09-18,70.16,71.29,69.26,70.31,42.761,1562425
1676,2006-09-19,70.2,70.98,68.61,69.34,42.171,1113080
1677,2006-09-20,69.34,70.87,67.22,69.39,42.2014,794450
1678,2006-09-21,69.8,72.18,69.4,71.04,43.2049,6491685
1679,2006-09-22,71.1,71.91,70.24,70.57,42.9191,1122070
1680,2006-09-25,70.0,71.19,69.44,70.5,42.8765,1778445
1681,2006-09-26,70.21,71.19,69.4,70.02,42.5846,1421315
1682,2006-09-27,70.02,74.39,70.02,74.03,45.0234,5335670
1683,2006-09-28,74.4,79.8,74.0,78.92,47.9974,7461180
1684,2006-09-29,78.8,78.98,75.5,75.84,46.1242,3192365
1685,2006-10-03,75.0,77.3,75.0,76.09,46.2762,2052840
1686,2006-10-04,76.94,77.38,74.42,76.76,46.6837,3649445
1687,2006-10-05,77.6,78.4,76.63,77.76,47.2919,3287245
1688,2006-10-06,78.2,80.28,77.9,78.89,47.9791,2999860
1689,2006-10-09,78.82,79.6,77.06,77.72,47.2676,1575435
1690,2006-10-10,77.86,78.6,77.04,77.81,47.3223,1312425
1691,2006-10-11,78.02,78.64,76.97,77.44,47.0973,932735
1692,2006-10-12,77.79,79.98,77.05,79.46,48.3258,2160205
1693,2006-10-13,80.8,82.38,80.8,82.0,49.8706,4809070
1694,2006-10-16,83.0,86.18,82.23,83.86,51.0018,7721325
1695,2006-10-17,82.6,84.2,82.02,82.96,50.4544,2234640
1696,2006-10-18,83.6,85.0,82.2,83.7,50.9045,2234925
1697,2006-10-19,85.94,85.94,81.8,81.95,49.8401,1021315
1698,2006-10-20,82.4,84.3,82.05,84.02,51.0991,1966580
1699,2006-10-23,84.6,84.6,83.2,83.68,50.8923,540670
1700,2006-10-26,82.0,84.69,80.45,83.47,50.7646,4125790
1701,2006-10-27,84.8,85.37,83.42,83.69,50.8984,3921535
1702,2006-10-30,83.69,85.9,83.0,85.57,52.0417,2098940
1703,2006-10-31,85.6,87.69,84.8,87.18,53.0209,2472010
1704,2006-11-01,87.76,89.76,87.4,88.27,53.6838,4527285
1705,2006-11-02,88.27,89.78,87.73,89.15,54.219,1416050
1706,2006-11-03,90.0,90.0,87.47,88.11,53.5865,1049630
1707,2006-11-06,86.0,88.54,86.0,87.61,53.2824,611360
1708,2006-11-07,88.0,88.28,83.63,84.97,51.6769,1780720
1709,2006-11-08,84.04,87.56,83.8,86.47,52.5891,2094090
1710,2006-11-09,87.69,88.2,86.62,87.56,53.252,1171645
1711,2006-11-10,88.36,90.19,87.4,89.0,54.1278,2931465
1712,2006-11-13,89.2,91.62,89.2,90.38,54.9671,1880750
1713,2006-11-14,91.2,95.55,90.2,94.67,57.5762,3658535
1714,2006-11-15,95.0,95.78,92.66,93.4,56.8038,4848085
1715,2006-11-16,93.42,98.94,93.42,97.11,59.0601,6433880
