,Date,Open,High,Low,Close,Adj_Close,Volume,SlowD,SlowK,WILLR,MACD,MACD_Signal,MACD_Hist,RSI,ADX,CCI,Chaikin A/D,OBV
4302,2017-07-07,508.25,508.95,501.25,503.15,503.15,3509920,50.3337,31.9367,-49.9331,0.2268,0.1253,0.1014,48.7724,13.7223,-32.7249,104948610.7098,1217243177.0000
4303,2017-07-10,509.1,513.15,506.7,509.95,509.95,1238680,35.7927,27.3215,-31.7269,0.1836,0.1370,0.0467,49.7387,12.9259,23.8994,104958210.5580,1218481857.0000
4304,2017-07-11,512.0,512.4,505.8,506.8,506.8,3928279,31.0686,33.9475,-47.2441,0.3791,0.1854,0.1937,53.0929,12.4120,-12.5058,102220312.6408,1214553578.0000
4305,2017-07-12,508.9,509.9,504.2,506.75,506.75,5504892,35.8469,46.2717,-62.4481,0.2807,0.2045,0.0762,49.1936,12.3258,-79.0671,101640842.7005,1209048686.0000
4306,2017-07-13,508.0,516.85,508.0,511.9,511.9,22231839,43.8187,51.2367,-48.1752,0.1285,0.1893,-0.0608,48.0552,11.7734,32.5766,99003189.8788,1231280525.0000
4307,2017-07-14,514.0,514.5,507.7,512.95,512.95,3160157,52.9092,61.2193,-43.0656,0.4865,0.2487,0.2378,55.6568,11.1927,32.0177,100722695.6811,1234440682.0000
4308,2017-07-17,513.1,514.0,508.5,510.5,510.5,3169635,58.2900,62.4140,-43.2515,0.6896,0.3369,0.3527,54.3316,10.6700,41.4582,99858249.7721,1231271047.0000
4309,2017-07-18,509.0,522.7,508.35,516.55,516.55,7864083,61.8477,61.9097,-28.6714,0.5138,0.3723,0.1415,48.4881,12.2583,158.8865,100981666.7141,1239135130.0000
4310,2017-07-19,518.0,521.95,516.05,520.2,520.2,8119092,63.6515,66.6308,-11.6550,1.0882,0.5155,0.5727,59.1928,13.6877,183.9837,104284367.7977,1247254222.0000
4311,2017-07-20,520.8,544.2,520.7,540.0,540.0,16391849,69.3561,79.5277,-9.7788,1.7492,0.7622,0.9870,61.9278,17.9761,240.4837,114816985.9465,1263646071.0000
4312,2017-07-21,540.0,542.4,532.25,540.8,540.8,5567645,77.8687,87.4475,-8.5001,3.7787,1.3655,2.4132,74.7973,21.8356,170.6443,118629278.9522,1269213716.0000
4313,2017-07-24,541.0,546.4,531.4,534.8,534.8,4779353,83.2720,82.8409,-27.4882,5.4055,2.1735,3.2320,75.2809,25.6704,114.5633,116016543.0379,1264434363.0000
4314,2017-07-25,533.5,547.5,529.95,544.95,544.95,8181916,84.7541,83.9739,-5.8891,6.0202,2.9428,3.0773,64.9036,28.6025,99.1380,121820817.7977,1272616279.0000
4315,2017-07-26,538.9,543.95,525.4,528.85,528.85,12085057,76.9178,63.9387,-46.8594,6.8639,3.7271,3.1369,68.3895,29.6677,42.3411,114230951.4757,1260531222.0000
4316,2017-07-27,532.4,534.95,522.0,524.65,524.65,12290852,64.0480,44.2315,-57.4120,6.9282,4.3673,2.5609,60.3699,29.5437,1.5365,106970373.2362,1248240370.0000
4317,2017-07-28,523.8,529.65,512.0,515.1,515.1,8268116,41.5606,16.5116,-82.7587,6.2136,4.7366,1.4771,51.4930,26.8302,-63.4829,101606611.4926,1239972254.0000
4318,2017-07-31,517.4,521.2,509.4,519.8,519.8,7245884,25.4056,15.4737,-70.7536,5.0724,4.8037,0.2687,45.9110,24.4726,-88.5715,107133106.3355,1247218138.0000
4319,2017-08-01,518.2,521.75,514.75,516.55,516.55,4562630,16.9644,18.9078,-81.2336,4.1843,4.6798,-0.4955,46.7133,22.2183,-84.9406,104916956.1208,1242655508.0000
4320,2017-08-02,518.75,524.05,512.6,516.9,516.9,4079631,20.0545,25.7818,-80.3149,3.4847,4.4408,-0.9561,47.3103,20.3769,-80.9192,103901533.1098,1246735139.0000
4321,2017-08-03,516.0,516.35,504.8,506.0,506.0,4140945,20.9941,18.2926,-97.1897,2.6775,4.0881,-1.4107,44.5382,19.7744,-115.1201,100621053.7122,1242594194.0000
4322,2017-08-04,506.0,510.8,504.6,508.1,508.1,4972811,20.4891,17.3927,-91.8415,1.2168,3.5139,-2.2971,36.0123,19.2746,-103.4563,101262723.0446,1247567005.0000
4323,2017-08-07,509.0,511.8,504.1,505.8,505.8,5293884,15.3779,10.4484,-96.0830,0.2978,2.8707,-2.5728,39.8504,18.5171,-98.4541,98306378.9272,1242273121.0000
4324,2017-08-08,507.7,510.95,496.05,499.45,499.45,8898560,13.5758,12.8863,-92.9018,-0.5292,2.1907,-2.7199,38.7318,19.5431,-123.4337,93468928.8375,1233374561.0000
4325,2017-08-09,494.45,498.65,485.45,486.95,486.95,7169705,10.6136,8.5062,-96.9697,-2.2282,1.3069,-3.5351,29.3895,22.0374,-172.3557,87928704.4686,1226204856.0000
4326,2017-08-10,485.1,494.15,483.55,485.5,485.5,10095387,9.7864,7.9667,-95.7700,-4.2797,0.1896,-4.4693,24.7153,24.5159,-154.5096,81547678.7237,1216109469.0000
4327,2017-08-11,482.9,493.35,480.0,489.7,489.7,9261420,10.1865,14.0868,-77.9795,-6.0138,-1.0511,-4.9627,23.7286,27.1738,-112.0699,85744812.2460,1225370889.0000
4328,2017-08-14,491.0,497.45,489.75,491.75,491.75,3983656,15.7256,25.1234,-73.3258,-6.6577,-2.1724,-4.4853,34.4359,28.1538,-61.1257,83830584.7092,1229354545.0000
4329,2017-08-16,492.95,501.55,488.0,499.5,499.5,5958229,30.7317,52.9850,-55.7321,-6.9308,-3.1241,-3.8067,36.8088,27.7471,-26.7491,87985963.7065,1235312774.0000
4330,2017-08-17,500.2,503.45,495.0,497.15,497.15,3948664,48.4346,67.1953,-52.8198,-6.4874,-3.7968,-2.6906,45.0278,26.8079,5.1969,86046670.5590,1231364110.0000
4331,2017-08-18,495.3,495.95,489.85,490.4,490.4,4166976,63.1680,69.3237,-67.2956,-6.4570,-4.3288,-2.1282,41.0211,26.9598,-45.9614,82631099.3269,1227197134.0000
